"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Jun 04 11:52:01 GMT 2022","Sat Jun 04 11:52:01 GMT 2022","0","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - token swap is not allowed for insufficient fund",""
"skipped","Sat Jun 04 11:52:01 GMT 2022","Sat Jun 04 11:52:01 GMT 2022","0","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - import a custom erc20 token",""
"failed","Sat Jun 04 11:50:47 GMT 2022","Sat Jun 04 11:52:01 GMT 2022","74137","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - select a token exchange pair to get swap rate",""
"passed","Sat Jun 04 11:52:01 GMT 2022","Sat Jun 04 11:53:37 GMT 2022","96092","","tests/testwithrinkeby.spec.ts","Test Suite - Rinkeby","","","Test - perform token swap for an exchange pair when account has sufficient fund",""
