"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jun 04 07:41:37 GMT 2022","Sat Jun 04 07:41:38 GMT 2022","1361","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - import a custom erc20 token",""
"passed","Sat Jun 04 07:41:34 GMT 2022","Sat Jun 04 07:41:37 GMT 2022","2923","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - token swap is not allowed for insufficient fund",""
"failed","Sat Jun 04 07:41:39 GMT 2022","Sat Jun 04 07:42:51 GMT 2022","72374","","tests/testwithrinkeby.spec.ts","Test Suite - Rinkeby","","","Test - perform token swap for an exchange pair when account has sufficient fund",""
"passed","Sat Jun 04 07:41:09 GMT 2022","Sat Jun 04 07:41:34 GMT 2022","24375","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - select a token exchange pair to get swap rate",""
