"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 04 08:16:09 GMT 2022","Sat Jun 04 08:17:19 GMT 2022","69962","","tests/testwithrinkeby.spec.ts","Test Suite - Rinkeby","","","Test - perform token swap for an exchange pair when account has sufficient fund",""
"failed","Sat Jun 04 08:16:07 GMT 2022","Sat Jun 04 08:16:08 GMT 2022","1384","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - import a custom erc20 token",""
"passed","Sat Jun 04 08:16:04 GMT 2022","Sat Jun 04 08:16:07 GMT 2022","2695","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - token swap is not allowed for insufficient fund",""
"passed","Sat Jun 04 08:15:42 GMT 2022","Sat Jun 04 08:16:04 GMT 2022","21989","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - select a token exchange pair to get swap rate",""
