"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 04 07:50:09 GMT 2022","Sat Jun 04 07:50:37 GMT 2022","27058","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - select a token exchange pair to get swap rate",""
"failed","Sat Jun 04 07:50:43 GMT 2022","Sat Jun 04 07:51:57 GMT 2022","74395","","tests/testwithrinkeby.spec.ts","Test Suite - Rinkeby","","","Test - perform token swap for an exchange pair when account has sufficient fund",""
"failed","Sat Jun 04 07:50:40 GMT 2022","Sat Jun 04 07:50:42 GMT 2022","1591","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - import a custom erc20 token",""
"passed","Sat Jun 04 07:50:37 GMT 2022","Sat Jun 04 07:50:40 GMT 2022","3634","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - token swap is not allowed for insufficient fund",""
