"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 06 12:06:08 SGT 2022","Mon Jun 06 12:06:13 SGT 2022","4857","","tests\testwithether.spec.ts","Test Suite - Ethereum","","","Test - token swap is not allowed for insufficient fund",""
"passed","Mon Jun 06 12:05:40 SGT 2022","Mon Jun 06 12:06:49 SGT 2022","69335","","tests\testwithrinkeby.spec.ts","Test Suite - Rinkeby","","","Test - perform token swap for an exchange pair when account has sufficient fund",""
"passed","Mon Jun 06 12:06:13 SGT 2022","Mon Jun 06 12:06:18 SGT 2022","4885","","tests\testwithether.spec.ts","Test Suite - Ethereum","","","Test - import a custom erc20 token",""
"passed","Mon Jun 06 12:05:40 SGT 2022","Mon Jun 06 12:06:08 SGT 2022","28521","","tests\testwithether.spec.ts","Test Suite - Ethereum","","","Test - select a token exchange pair to get swap rate",""
