"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 04 11:44:42 GMT 2022","Sat Jun 04 11:45:11 GMT 2022","29372","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - select a token exchange pair to get swap rate",""
"passed","Sat Jun 04 11:45:14 GMT 2022","Sat Jun 04 11:45:16 GMT 2022","1978","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - import a custom erc20 token",""
"passed","Sat Jun 04 11:45:16 GMT 2022","Sat Jun 04 11:46:15 GMT 2022","58870","","tests/testwithrinkeby.spec.ts","Test Suite - Rinkeby","","","Test - perform token swap for an exchange pair when account has sufficient fund",""
"passed","Sat Jun 04 11:45:11 GMT 2022","Sat Jun 04 11:45:14 GMT 2022","3421","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - token swap is not allowed for insufficient fund",""
