"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jun 04 11:25:13 GMT 2022","Sat Jun 04 11:26:26 GMT 2022","73147","","tests/testwithrinkeby.spec.ts","Test Suite - Rinkeby","","","Test - perform token swap for an exchange pair when account has sufficient fund",""
"passed","Sat Jun 04 11:25:11 GMT 2022","Sat Jun 04 11:25:13 GMT 2022","1522","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - import a custom erc20 token",""
"passed","Sat Jun 04 11:24:42 GMT 2022","Sat Jun 04 11:25:08 GMT 2022","25915","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - select a token exchange pair to get swap rate",""
"passed","Sat Jun 04 11:25:08 GMT 2022","Sat Jun 04 11:25:11 GMT 2022","3180","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - token swap is not allowed for insufficient fund",""
