"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Jun 04 11:59:00 GMT 2022","Sat Jun 04 11:59:00 GMT 2022","0","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - token swap is not allowed for insufficient fund",""
"failed","Sat Jun 04 11:57:46 GMT 2022","Sat Jun 04 11:59:00 GMT 2022","73735","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - select a token exchange pair to get swap rate",""
"skipped","Sat Jun 04 11:59:00 GMT 2022","Sat Jun 04 11:59:00 GMT 2022","0","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - import a custom erc20 token",""
"passed","Sat Jun 04 11:59:00 GMT 2022","Sat Jun 04 11:59:52 GMT 2022","51192","","tests/testwithrinkeby.spec.ts","Test Suite - Rinkeby","","","Test - perform token swap for an exchange pair when account has sufficient fund",""
