"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Oct 05 08:27:56 GMT 2022","Wed Oct 05 08:27:56 GMT 2022","0","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - import a custom erc20 token",""
"failed","Wed Oct 05 08:27:57 GMT 2022","Wed Oct 05 08:29:13 GMT 2022","76192","","tests/testwithrinkeby.spec.ts","Test Suite - Rinkeby","","","Test - perform token swap for an exchange pair when account has sufficient fund",""
"skipped","Wed Oct 05 08:27:56 GMT 2022","Wed Oct 05 08:27:56 GMT 2022","0","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - token swap is not allowed for insufficient fund",""
"failed","Wed Oct 05 08:26:37 GMT 2022","Wed Oct 05 08:27:56 GMT 2022","79566","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - select a token exchange pair to get swap rate",""
