"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 05 08:23:54 GMT 2022","Sun Jun 05 08:23:57 GMT 2022","2487","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - import a custom erc20 token",""
"passed","Sun Jun 05 08:23:19 GMT 2022","Sun Jun 05 08:23:49 GMT 2022","29811","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - select a token exchange pair to get swap rate",""
"passed","Sun Jun 05 08:23:49 GMT 2022","Sun Jun 05 08:23:54 GMT 2022","5170","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - token swap is not allowed for insufficient fund",""
"passed","Sun Jun 05 08:23:57 GMT 2022","Sun Jun 05 08:24:55 GMT 2022","58437","","tests/testwithrinkeby.spec.ts","Test Suite - Rinkeby","","","Test - perform token swap for an exchange pair when account has sufficient fund",""
