"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 04 11:36:22 GMT 2022","Sat Jun 04 11:37:14 GMT 2022","51190","","tests/testwithrinkeby.spec.ts","Test Suite - Rinkeby","","","Test - perform token swap for an exchange pair when account has sufficient fund",""
"passed","Sat Jun 04 11:36:18 GMT 2022","Sat Jun 04 11:36:21 GMT 2022","3424","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - token swap is not allowed for insufficient fund",""
"passed","Sat Jun 04 11:35:55 GMT 2022","Sat Jun 04 11:36:18 GMT 2022","22892","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - select a token exchange pair to get swap rate",""
"passed","Sat Jun 04 11:36:21 GMT 2022","Sat Jun 04 11:36:22 GMT 2022","1164","","tests/testwithether.spec.ts","Test Suite - Ethereum","","","Test - import a custom erc20 token",""
